Sample_ID,Sample_Type,Type,Raw_Yield(G),Raw_Reads_Num(M),Raw_Q30,Raw_Q20,Raw_GC,Clean_Yield(G),Clean_Reads_Num(M),Clean_Q30,Clean_Q20,Clean_GC,Effective,Insert_Size_Peak(bp),V_primer_percent,J_primer_percent,merge_rate,clone_reads_ratio
HPLXTCR04983,gdna,Healthy,4.17,27.83,93.4,97.48,54.54,3.37,27.62,94.59,98.2,55.17,80.62,97,95.27,94.59,0.96,0.828
HPLXTCR05171,gdna,Healthy,4.61,30.74,93.23,97.3,54.17,3.36,30.51,94.87,98.24,55.09,72.81,104,95.19,93.49,0.99,0.796
HPLXTCR05173,gdna,Healthy,9.74,64.92,93.38,97.41,54.52,7.39,64.43,94.8,98.22,55.34,75.86,104,95.55,94.11,0.98,0.826
HPLXTCR05174,gdna,Healthy,6.14,40.92,93.56,97.52,54.63,4.75,40.61,94.89,98.27,55.41,77.47,104,95.59,93.96,0.98,0.828
HPLXTCR05175,gdna,Healthy,6.95,46.34,93.38,97.42,54.52,5.33,45.99,94.72,98.19,55.34,76.73,103,95.59,94.06,0.98,0.827
HPLXTCR05176,gdna,Healthy,7.28,48.55,93.11,97.23,54.42,5.33,48.18,94.96,98.27,55.3,73.21,104,95.61,94.09,0.99,0.826
HPLXTCR05177,gdna,Healthy,8.92,59.47,93.61,97.56,54.6,6.84,59.03,94.81,98.23,55.44,76.67,104,95.59,94.12,0.97,0.828
HPLXTCR05178,gdna,Healthy,9.03,60.2,93.72,97.63,54.59,6.97,59.75,94.87,98.27,55.39,77.21,104,95.61,94.16,0.98,0.827
HPLXTCR05179,gdna,Healthy,8.76,58.42,93.72,97.62,54.5,6.77,58.01,94.83,98.24,55.32,77.28,104,95.54,94.22,0.98,0.827
HPLXTCR05180,gdna,Healthy,9.69,64.57,93.65,97.57,54.57,7.43,64.09,94.94,98.28,55.37,76.68,104,95.59,94.04,0.98,0.826
HPLXTCR05181,gdna,Healthy,5.17,34.49,92.43,96.51,54.41,3.79,34.2,94.71,98.15,55.27,73.23,103,95.49,93.71,0.99,0.82
HPLXTCR05182,gdna,Healthy,7.35,49.01,93.04,96.98,54.72,5.69,48.64,94.76,98.19,55.45,77.44,111,95.56,94.06,0.97,0.827
HPLXTCR05183,gdna,Healthy,6.31,42.04,92.84,96.89,54.66,4.97,41.7,94.44,98.06,55.37,78.73,110,95.52,94.0,0.96,0.824
HPLXTCR05184,gdna,Healthy,6.89,45.93,92.77,96.83,54.75,5.33,45.53,94.6,98.11,55.42,77.33,113,95.58,94.07,0.97,0.825
HPLXTCR05185,gdna,Healthy,5.81,38.76,93.62,97.56,55.46,4.66,38.48,94.76,98.2,56.35,80.11,106,95.78,94.17,0.95,0.824
HPLXTCR05186,gdna,Healthy,5.54,36.9,93.35,97.42,54.89,4.54,36.64,94.75,98.21,55.5,82.1,153,95.74,94.19,0.96,0.824
HPLXTCR05187,gdna,Healthy,5.73,38.2,93.55,97.54,54.98,4.5,37.93,94.78,98.22,55.83,78.54,108,95.66,94.33,0.96,0.826
HPLXTCR05188,gdna,Healthy,6.21,41.39,93.63,97.57,54.8,4.97,41.06,94.82,98.25,55.51,80.0,102,95.71,94.26,0.96,0.831
HPLXTCR05189,gdna,Healthy,6.89,45.96,93.59,97.55,54.07,5.47,45.64,94.81,98.24,54.69,79.39,147,95.75,94.27,0.97,0.826
HPLXTCR05190,gdna,Healthy,5.98,39.85,93.55,97.55,54.76,4.73,39.53,94.8,98.24,55.52,79.17,104,95.72,94.32,0.97,0.828
HPLXTCR05191,gdna,Healthy,6.92,46.11,93.51,97.49,54.72,5.29,45.78,95.02,98.33,55.66,76.52,102,95.86,94.34,0.97,0.831
HPLXTCR05192,gdna,Healthy,7.37,49.15,93.32,97.38,54.59,5.62,48.77,94.81,98.21,55.42,76.28,104,95.79,94.33,0.98,0.829
HPLXTCR05193,gdna,Healthy,5.59,37.25,93.45,97.47,54.85,4.42,36.96,94.67,98.16,55.59,79.06,105,95.72,94.3,0.95,0.826
HPLXTCR05194,gdna,Healthy,6.3,42.02,93.62,97.57,54.69,4.92,41.73,94.89,98.27,55.46,78.02,110,95.86,94.41,0.97,0.831
HPLXTCR05195,gdna,Healthy,5.33,35.52,93.52,97.51,54.65,4.27,35.24,94.59,98.12,55.32,80.08,122,95.88,94.52,0.96,0.834
HPLXTCR05172,gdna,Healthy,6.17,41.17,93.56,97.52,54.62,4.84,40.82,94.77,98.21,55.35,78.32,108,95.46,93.75,0.97,0.822
HPLXTCR05170,gdna,Healthy,7.02,46.81,93.72,97.62,54.55,5.42,46.47,94.91,98.28,55.38,77.15,104,95.54,94.1,0.98,0.827
HPLXTCR05145,gdna,Healthy,11.09,73.93,94.3,97.86,54.75,8.68,73.37,95.38,98.46,55.54,78.29,108,95.53,94.5,0.98,0.832
HPLXTCR05169,gdna,Healthy,6.1,40.68,93.54,97.51,54.74,4.73,40.37,94.71,98.18,55.6,77.48,104,95.47,93.98,0.97,0.826
HPLXTCR05146,gdna,Healthy,11.03,73.52,94.47,97.94,54.54,8.58,72.98,95.56,98.55,55.3,77.76,99,95.56,94.54,0.98,0.831
HPLXTCR05147,gdna,Healthy,8.56,57.09,94.43,97.9,54.86,6.63,56.65,95.48,98.5,55.75,77.45,104,95.52,94.58,0.98,0.83
HPLXTCR05148,gdna,Healthy,8.22,54.82,94.39,97.93,54.46,6.51,54.43,95.37,98.49,55.18,79.19,113,95.47,94.55,0.98,0.83
HPLXTCR05149,gdna,Healthy,9.93,66.22,94.29,97.86,54.6,7.67,65.72,95.47,98.5,55.4,77.17,104,95.6,94.59,0.99,0.83
HPLXTCR05150,gdna,Healthy,9.92,66.16,94.37,97.89,54.55,7.66,65.67,95.5,98.51,55.36,77.17,104,95.59,94.6,0.99,0.831
HPLXTCR05151,gdna,Healthy,10.28,68.55,94.54,97.97,54.57,7.87,68.09,95.75,98.63,55.42,76.55,104,95.64,94.61,0.99,0.831
HPLXTCR05152,gdna,Healthy,9.51,63.39,94.45,97.92,54.5,7.35,62.93,95.57,98.54,55.34,77.3,104,95.56,94.52,0.98,0.83
HPLXTCR05153,gdna,Healthy,7.76,51.71,93.83,97.32,54.71,5.99,51.35,95.6,98.55,55.55,77.28,120,95.58,94.58,0.99,0.832
HPLXTCR05154,gdna,Healthy,6.54,43.61,93.25,96.95,54.31,5.06,43.3,95.68,98.59,55.07,77.28,98,95.79,93.98,0.99,0.833
HPLXTCR05155,gdna,Healthy,8.52,56.81,93.76,97.28,54.65,6.51,56.41,95.53,98.51,55.56,76.38,106,95.57,94.52,0.99,0.831
HPLXTCR05156,gdna,Healthy,8.31,55.37,93.89,97.33,54.7,6.34,54.97,95.64,98.56,55.57,76.37,107,95.58,94.56,0.99,0.833
HPLXTCR05157,gdna,Healthy,6.84,45.61,93.79,97.28,54.51,5.26,45.28,95.5,98.5,55.31,76.81,104,95.65,94.52,0.98,0.835
HPLXTCR05158,gdna,Healthy,8.54,56.93,93.89,97.37,54.58,6.56,56.54,95.61,98.56,55.39,76.86,104,95.6,94.51,0.98,0.829
HPLXTCR05159,gdna,Healthy,11.09,73.91,93.98,97.38,54.51,8.39,73.39,95.73,98.6,55.43,75.69,104,95.58,94.59,0.99,0.831
HPLXTCR05160,gdna,Healthy,8.76,58.37,93.73,97.23,54.56,6.69,57.91,95.51,98.5,55.34,76.46,104,95.58,94.52,0.98,0.83
HPLXTCR05161,gdna,Healthy,7.45,49.65,93.81,97.37,54.75,5.82,49.31,95.29,98.41,55.49,78.16,111,95.67,94.62,0.98,0.832
HPLXTCR05162,gdna,Healthy,9.33,62.23,94.05,97.49,54.74,7.33,61.8,95.52,98.52,55.48,78.49,104,95.71,94.46,0.98,0.832
HPLXTCR05163,gdna,Healthy,7.66,51.07,93.83,97.29,54.68,5.86,50.69,95.48,98.48,55.55,76.53,104,95.61,94.56,0.99,0.831
HPLXTCR05164,gdna,Healthy,7.24,48.24,93.85,97.36,54.67,5.61,47.86,95.47,98.5,55.45,77.59,104,95.6,94.57,0.98,0.828
HPLXTCR05165,gdna,Healthy,10.19,67.94,93.7,97.25,54.56,7.78,67.41,95.51,98.51,55.35,76.33,104,95.61,94.56,0.99,0.829
HPLXTCR05166,gdna,Healthy,8.93,59.53,93.77,97.25,54.64,6.79,59.1,95.55,98.52,55.48,76.09,105,95.69,94.49,0.98,0.827
HPLXTCR05167,gdna,Healthy,6.43,42.88,93.24,97.07,54.51,4.94,42.59,95.07,98.35,55.23,76.74,110,95.65,94.21,0.98,0.829
HPLXTCR05168,gdna,Healthy,4.91,32.73,91.06,95.23,54.32,3.16,32.46,95.28,98.39,55.29,64.39,102,94.82,93.34,female,0.809
HPLXTCR05091,gdna,Healthy,5.73,38.2,91.12,96.34,54.79,4.42,37.85,93.03,97.43,55.68,77.15,103,95.2,94.5,0.97,0.826
HPLXTCR05090,gdna,Healthy,7.12,47.49,90.7,96.02,54.69,5.44,47.1,93.37,97.59,55.52,76.33,104,95.31,94.53,0.98,0.831
HPLXTCR05089,gdna,Healthy,7.48,49.84,91.34,96.46,54.68,5.78,49.41,93.19,97.5,55.5,77.28,105,95.33,94.58,0.97,0.829
HPLXTCR05010,gdna,Healthy,6.84,45.6,94.29,97.89,54.69,5.38,45.28,95.41,98.47,55.39,78.68,104,95.46,93.57,0.98,0.816
HPLXTCR05012,gdna,Healthy,7.59,50.58,94.18,97.83,54.98,6.09,50.23,95.24,98.39,55.64,80.24,110,95.41,93.56,0.97,0.815
HPLXTCR05013,gdna,Healthy,4.68,31.17,94.12,97.8,54.79,3.76,30.95,95.12,98.34,55.46,80.41,104,95.38,93.64,0.96,0.816
HPLXTCR05014,gdna,Healthy,5.79,38.6,94.31,97.9,54.77,4.71,38.33,95.26,98.41,55.38,81.38,120,95.41,93.6,0.96,0.808
HPLXTCR05015,gdna,Healthy,10.56,70.4,94.17,97.81,54.73,8.41,69.91,95.22,98.39,55.43,79.6,104,95.52,93.72,0.97,0.817
HPLXTCR05016,gdna,Healthy,6.49,43.29,94.05,97.71,54.31,4.85,43.01,95.56,98.51,55.09,74.61,104,95.63,93.45,0.99,0.82
HPLXTCR05017,gdna,Healthy,6.76,45.09,94.18,97.82,54.61,5.37,44.79,95.21,98.38,55.31,79.46,103,95.44,93.68,0.97,0.823
HPLXTCR05018,gdna,Healthy,3.36,22.41,94.16,97.8,54.7,2.62,22.25,95.34,98.43,55.49,77.87,104,95.45,93.56,0.98,0.814
HPLXTCR05019,gdna,Healthy,7.04,46.93,94.25,97.86,54.83,5.73,46.59,95.12,98.35,55.49,81.4,107,95.38,93.51,0.96,0.812
HPLXTCR05020,gdna,Healthy,2.78,18.53,94.1,97.78,54.9,2.26,18.4,95.06,98.32,55.53,81.44,108,95.37,93.57,0.96,0.814
HPLXTCR05021,gdna,Healthy,6.75,44.99,94.04,97.78,54.91,5.52,44.67,94.92,98.26,55.52,81.81,110,95.38,93.56,0.96,0.812
HPLXTCR05022,gdna,Healthy,5.55,37.02,94.12,97.81,54.79,4.45,36.76,95.18,98.38,55.45,80.1,125,95.42,93.73,0.97,0.816
HPLXTCR05023,gdna,Healthy,7.2,47.99,94.14,97.79,54.85,5.75,47.65,95.17,98.36,55.57,79.94,105,95.37,93.64,0.96,0.813
HPLXTCR05024,gdna,Healthy,8.26,55.09,94.22,97.84,54.86,6.54,54.74,95.34,98.43,55.6,79.15,99,95.52,93.7,0.97,0.817
HPLXTCR05025,gdna,Healthy,6.58,43.89,94.11,97.8,54.87,5.27,43.58,95.05,98.31,55.61,80.05,105,95.37,93.56,0.96,0.813
HPLXTCR05026,gdna,Healthy,5.34,35.62,94.15,97.83,54.68,4.3,35.37,95.11,98.35,55.33,80.48,114,95.33,93.49,0.96,0.815
HPLXTCR05027,gdna,Healthy,5.13,34.22,94.06,97.76,54.75,4.07,33.96,95.07,98.31,55.51,79.34,104,95.39,93.63,0.96,0.816
HPLXTCR05028,gdna,Healthy,4.84,32.29,93.91,97.67,55.15,3.9,32.03,94.94,98.25,55.87,80.6,114,95.36,93.51,0.96,0.813
HPLXTCR05029,gdna,Healthy,5.1,33.99,93.03,97.05,54.94,4.06,33.72,94.51,98.07,55.54,79.66,104,95.43,93.52,0.96,0.818
HPLXTCR05030,gdna,Healthy,4.98,33.17,93.2,97.19,54.93,4.05,32.89,94.53,98.1,55.47,81.49,236,95.25,93.42,0.96,0.81
HPLXTCR05031,gdna,Healthy,6.29,41.96,92.93,96.94,55.12,4.99,41.62,94.53,98.08,55.77,79.25,118,95.41,93.57,0.97,0.816
HPLXTCR05032,gdna,Healthy,6.66,44.43,93.08,97.06,54.84,5.33,44.07,94.59,98.1,55.38,79.97,108,95.4,93.56,0.97,0.812
HPLXTCR05033,gdna,Healthy,6.84,45.61,93.8,97.63,54.92,5.49,45.28,94.84,98.2,55.64,80.22,109,95.45,93.4,0.96,0.811
HPLXTCR05034,gdna,Healthy,7.4,49.32,93.86,97.68,55.08,6.05,48.95,94.81,98.2,55.75,81.81,110,95.43,93.59,0.95,0.81
HPLXTCR05011,gdna,Healthy,5.73,38.23,94.16,97.82,54.9,4.59,37.95,95.14,98.35,55.6,80.06,110,95.39,93.55,0.97,0.818
HPLXTCR05009,gdna,Healthy,8.71,58.07,94.28,97.88,54.73,7.0,57.67,95.23,98.38,55.36,80.39,104,95.44,93.62,0.97,0.815
HPLXTCR05088,gdna,Healthy,5.27,35.12,94.25,97.83,54.47,4.17,34.89,95.48,98.52,55.16,79.1,104,95.51,93.59,0.98,0.812
HPLXTCR05008,gdna,Healthy,7.51,50.09,93.47,97.24,54.83,5.92,49.72,95.07,98.33,55.5,78.85,106,95.44,93.62,0.97,0.817
HPLXTCR04985,gdna,Healthy,4.96,33.06,93.42,97.46,54.73,3.92,32.82,94.73,98.23,55.42,79.03,104,95.35,94.65,0.98,0.827
HPLXTCR04986,gdna,Healthy,3.39,22.6,93.57,97.58,54.71,2.77,22.43,94.7,98.25,55.23,81.69,114,95.09,94.51,0.95,0.823
HPLXTCR04987,gdna,Healthy,4.52,30.15,93.29,97.41,55.13,3.68,29.92,94.4,98.09,55.82,81.38,109,95.37,94.61,0.96,0.829
HPLXTCR04988,gdna,Healthy,5.66,37.74,93.31,97.45,54.63,4.57,37.46,94.49,98.15,55.26,80.74,125,95.38,94.52,0.97,0.827
HPLXTCR04989,gdna,Healthy,3.86,25.75,93.3,97.44,54.69,3.1,25.57,94.53,98.17,55.32,80.15,104,95.28,94.56,0.97,0.827
HPLXTCR04990,gdna,Healthy,4.4,29.32,93.33,97.44,54.74,3.54,29.11,94.53,98.16,55.38,80.45,104,95.29,94.58,0.97,0.824
HPLXTCR04991,gdna,Healthy,5.16,34.41,93.49,97.5,54.51,4.0,34.17,95.02,98.38,55.24,77.57,104,95.4,94.6,0.98,0.83
HPLXTCR04992,gdna,Healthy,4.12,27.44,93.48,97.51,54.72,3.29,27.25,94.67,98.22,55.45,79.91,101,95.4,94.57,0.97,0.826
HPLXTCR04993,gdna,Healthy,5.85,39.03,93.77,97.54,54.38,4.38,38.74,95.33,98.4,55.17,74.81,104,95.56,93.31,0.99,0.812
HPLXTCR04994,gdna,Healthy,7.34,48.97,94.14,97.78,54.67,5.79,48.62,95.32,98.43,55.38,78.88,104,95.49,93.51,0.97,0.813
HPLXTCR04995,gdna,Healthy,7.7,51.32,94.02,97.71,54.91,6.18,50.94,95.06,98.31,55.6,80.25,120,95.3,93.69,0.96,0.813
HPLXTCR04996,gdna,Healthy,7.76,51.76,94.07,97.73,54.83,6.2,51.4,95.23,98.38,55.49,79.89,102,95.44,93.64,0.97,0.814
HPLXTCR04997,gdna,Healthy,6.31,42.04,93.81,97.63,55.35,5.15,41.73,94.95,98.27,56.13,81.59,99,95.47,93.65,0.96,0.816
HPLXTCR04998,gdna,Healthy,6.43,42.85,93.8,97.64,54.94,5.16,42.53,95.03,98.32,55.66,80.35,104,95.39,93.59,0.96,0.812
HPLXTCR04999,gdna,Healthy,6.65,44.33,93.77,97.61,54.72,5.34,44.01,94.97,98.28,55.42,80.24,105,95.52,93.72,0.96,0.815
HPLXTCR05000,gdna,Healthy,7.01,46.73,93.73,97.58,54.68,5.53,46.4,95.14,98.35,55.39,78.95,124,95.46,93.66,0.97,0.817
HPLXTCR05001,gdna,Healthy,7.47,49.83,94.43,97.94,54.99,6.04,49.49,95.37,98.45,55.7,80.86,105,95.44,93.61,0.96,0.812
HPLXTCR05002,gdna,Healthy,10.38,69.18,93.95,97.61,54.49,7.26,68.73,96.0,98.68,55.54,70.01,109,95.59,93.76,female,0.83
HPLXTCR05003,gdna,Healthy,6.2,41.37,94.38,97.9,54.76,4.94,41.07,95.38,98.45,55.5,79.61,104,95.4,93.66,0.97,0.815
HPLXTCR05004,gdna,Healthy,7.11,47.38,94.34,97.89,54.68,5.6,47.08,95.49,98.5,55.39,78.83,109,95.41,93.66,0.97,0.819
HPLXTCR05005,gdna,Healthy,5.78,38.54,93.46,97.26,54.77,4.57,38.25,94.94,98.27,55.43,79.06,104,95.46,93.66,0.97,0.816
HPLXTCR05006,gdna,Healthy,4.69,31.3,93.6,97.4,55.01,3.84,31.06,94.82,98.23,55.59,81.78,123,95.4,93.52,0.95,0.812
HPLXTCR05007,gdna,Healthy,6.79,45.26,93.47,97.3,54.86,5.5,44.92,94.76,98.2,55.49,81.0,106,95.37,93.59,0.96,0.814
HPLXTCR05035,gdna,Healthy,6.85,45.67,93.73,97.59,54.82,5.48,45.32,94.77,98.16,55.54,80.04,104,95.4,93.59,0.96,0.815
HPLXTCR05036,gdna,Healthy,4.62,30.82,93.73,97.6,54.88,3.74,30.61,94.82,98.2,55.55,80.93,104,95.29,93.63,0.96,0.816
HPLXTCR05037,gdna,Healthy,6.55,43.68,93.64,97.46,54.81,5.33,43.35,94.81,98.22,55.45,81.31,110,95.32,93.71,0.95,0.815
HPLXTCR05038,gdna,Healthy,5.93,39.56,93.73,97.49,54.92,4.81,39.26,94.96,98.29,55.59,81.07,106,95.34,93.84,0.95,0.816
HPLXTCR05065,gdna,Healthy,3.82,25.46,93.51,97.25,54.42,2.91,25.25,95.3,98.39,55.16,76.08,108,95.42,93.07,0.99,0.793
HPLXTCR05066,gdna,Healthy,7.9,52.68,94.11,97.69,54.97,6.48,52.28,95.22,98.39,55.58,82.04,110,95.35,93.67,0.96,0.81
HPLXTCR05067,gdna,Healthy,4.95,33.03,94.01,97.63,54.89,4.08,32.78,95.05,98.31,55.52,82.33,117,95.29,93.55,0.96,0.806
HPLXTCR05068,gdna,Healthy,6.46,43.05,94.0,97.64,54.81,5.22,42.74,95.21,98.39,55.48,80.79,108,95.36,93.66,0.97,0.813
HPLXTCR05069,gdna,Healthy,5.53,36.89,93.93,97.6,54.92,4.48,36.6,95.15,98.37,55.57,81.05,115,95.31,93.68,0.97,0.813
HPLXTCR05070,gdna,Healthy,7.35,49.01,93.94,97.55,54.72,5.78,48.64,95.33,98.43,55.45,78.68,104,95.43,93.75,0.97,0.818
HPLXTCR05071,gdna,Healthy,4.4,29.34,93.84,97.49,54.57,3.43,29.14,95.45,98.49,55.3,77.92,105,95.56,93.32,0.98,0.813
HPLXTCR05072,gdna,Healthy,5.9,39.31,94.03,97.62,54.88,4.74,39.05,95.3,98.43,55.63,80.32,104,95.48,93.61,0.96,0.815
HPLXTCR05073,gdna,Healthy,4.77,31.81,94.01,97.73,54.67,3.86,31.59,95.18,98.4,55.31,80.85,103,95.46,93.69,0.97,0.812
HPLXTCR05074,gdna,Healthy,4.36,29.06,93.94,97.71,55.03,3.67,28.86,95.15,98.41,55.57,84.29,113,95.4,93.42,0.95,0.802
HPLXTCR05075,gdna,Healthy,4.43,29.52,94.03,97.75,54.72,3.6,29.32,95.17,98.4,55.35,81.28,104,95.37,93.64,0.96,0.811
HPLXTCR05076,gdna,Healthy,4.51,30.05,94.08,97.77,54.71,3.66,29.84,95.21,98.41,55.32,81.19,158,95.42,93.69,0.97,0.811
HPLXTCR05077,gdna,Healthy,5.69,37.92,94.05,97.75,54.94,4.68,37.64,95.09,98.36,55.54,82.34,110,95.28,93.35,0.95,0.801
HPLXTCR05078,gdna,Healthy,6.14,40.96,94.21,97.83,54.71,4.91,40.68,95.42,98.51,55.39,79.92,104,95.48,93.64,0.97,0.814
HPLXTCR05079,gdna,Healthy,4.01,26.74,94.09,97.79,54.79,3.3,26.56,95.14,98.4,55.42,82.17,141,95.41,93.33,0.96,0.806
HPLXTCR05080,gdna,Healthy,4.36,29.04,94.05,97.72,54.78,3.49,28.84,95.28,98.43,55.42,80.05,115,95.47,93.48,0.96,0.816
HPLXTCR05081,gdna,Healthy,5.55,36.98,94.06,97.73,54.65,4.39,36.72,95.35,98.46,55.3,79.22,104,95.52,93.63,0.97,0.815
HPLXTCR05082,gdna,Healthy,4.26,28.42,94.09,97.79,54.91,3.48,28.23,95.17,98.4,55.53,81.59,105,95.4,93.42,0.96,0.812
HPLXTCR05083,gdna,Healthy,4.69,31.24,94.12,97.76,54.91,3.77,31.01,95.28,98.44,55.6,80.46,105,95.52,93.66,0.96,0.817
HPLXTCR05084,gdna,Healthy,5.97,39.82,94.17,97.82,54.8,4.86,39.55,95.28,98.44,55.43,81.32,105,95.42,93.59,0.97,0.808
HPLXTCR05085,gdna,Healthy,4.71,31.42,94.08,97.77,54.73,3.79,31.22,95.3,98.46,55.36,80.35,104,95.53,93.59,0.97,0.814
HPLXTCR05086,gdna,Healthy,4.47,29.78,94.16,97.82,54.82,3.66,29.58,95.19,98.41,55.43,81.96,101,95.32,93.54,0.96,0.808
HPLXTCR05087,gdna,Healthy,5.99,39.96,94.32,97.9,54.82,4.87,39.71,95.46,98.53,55.46,81.2,104,95.48,93.65,0.97,0.81
HPLXTCR05064,gdna,Healthy,6.32,42.11,93.92,97.53,54.76,4.98,41.82,95.3,98.41,55.49,78.8,116,95.46,93.56,0.97,0.815
HPLXTCR05063,gdna,Healthy,5.91,39.41,94.04,97.64,54.75,4.74,39.14,95.28,98.42,55.49,80.16,105,95.38,93.63,0.97,0.812
HPLXTCR05062,gdna,Healthy,6.55,43.65,93.93,97.58,54.69,5.23,43.33,95.27,98.42,55.39,79.92,108,95.37,93.55,0.96,0.813
HPLXTCR05049,gdna,Healthy,7.61,50.71,94.07,97.74,54.72,6.09,50.32,95.19,98.37,55.39,80.04,104,95.43,93.66,0.97,0.813
HPLXTCR05039,gdna,Healthy,4.38,29.22,93.53,97.36,54.8,3.54,28.98,94.81,98.22,55.47,80.83,108,95.39,93.57,0.95,0.815
HPLXTCR05040,gdna,Healthy,6.59,43.93,93.55,97.36,54.97,5.33,43.55,94.9,98.25,55.6,80.9,111,95.4,93.59,0.96,0.815
HPLXTCR05041,gdna,Healthy,5.71,38.09,94.06,97.72,54.6,4.52,37.78,95.29,98.41,55.29,79.07,108,95.44,93.55,0.97,0.814
HPLXTCR05042,gdna,Healthy,2.87,19.16,93.58,97.48,54.85,2.31,19.02,95.18,98.38,55.53,80.26,108,95.4,93.59,0.96,0.813
HPLXTCR05043,gdna,Healthy,5.63,37.54,93.94,97.7,54.66,4.5,37.26,95.08,98.33,55.39,79.86,108,95.43,93.62,0.97,0.814
HPLXTCR05044,gdna,Healthy,6.51,43.39,94.09,97.76,54.93,5.24,43.07,95.2,98.38,55.65,80.43,135,95.4,93.63,0.97,0.814
HPLXTCR05045,gdna,Healthy,3.1,20.64,93.95,97.71,54.84,2.51,20.49,94.99,98.29,55.53,80.97,104,95.31,93.68,0.96,0.812
HPLXTCR05046,gdna,Healthy,5.83,38.84,94.03,97.76,54.85,4.69,38.56,95.14,98.37,55.56,80.52,104,95.39,93.7,0.96,0.814
HPLXTCR05047,gdna,Healthy,6.31,42.06,94.17,97.8,54.98,5.05,41.76,95.25,98.41,55.76,80.1,124,95.37,93.81,0.96,0.816
HPLXTCR05048,gdna,Healthy,7.26,48.41,94.01,97.69,54.65,5.73,48.05,95.25,98.39,55.34,78.85,102,95.52,93.66,0.98,0.816
HPLXTCR05050,gdna,Healthy,5.26,35.05,94.13,97.79,54.88,4.24,34.79,95.19,98.38,55.54,80.73,104,95.4,93.73,0.96,0.815
HPLXTCR05061,gdna,Healthy,6.41,42.76,93.94,97.58,54.8,5.14,42.44,95.21,98.38,55.5,80.11,107,95.41,93.57,0.96,0.813
HPLXTCR05051,gdna,Healthy,6.28,41.87,93.84,97.65,54.88,5.17,41.52,94.75,98.19,55.5,82.24,137,95.38,93.54,0.95,0.81
HPLXTCR05052,gdna,Healthy,3.98,26.56,94.03,97.74,54.98,3.17,26.37,95.21,98.39,55.76,79.52,95,95.45,93.76,0.97,0.817
HPLXTCR05053,gdna,Healthy,4.85,32.36,93.97,97.73,54.76,3.92,32.12,95.07,98.34,55.41,80.82,110,95.39,93.48,0.97,0.815
HPLXTCR05054,gdna,Healthy,5.71,38.07,94.04,97.74,54.66,4.59,37.77,95.12,98.35,55.31,80.4,108,95.35,93.61,0.96,0.816
HPLXTCR05055,gdna,Healthy,5.21,34.7,94.1,97.78,54.96,4.18,34.46,95.27,98.43,55.67,80.36,104,95.44,93.7,0.96,0.814
HPLXTCR05056,gdna,Healthy,6.2,41.33,94.22,97.82,54.55,4.91,41.04,95.36,98.46,55.27,79.26,104,95.49,93.6,0.98,0.815
HPLXTCR05057,gdna,Healthy,6.99,46.63,94.04,97.67,54.88,5.77,46.27,95.11,98.34,55.49,82.57,158,95.38,93.66,0.96,0.808
HPLXTCR05058,gdna,Healthy,6.17,41.15,93.47,97.31,54.85,4.95,40.85,95.26,98.41,55.55,80.27,104,95.43,93.55,0.97,0.812
HPLXTCR05059,gdna,Healthy,6.33,42.22,93.94,97.62,54.92,5.14,41.92,95.09,98.34,55.64,81.25,112,95.34,93.54,0.96,0.811
HPLXTCR05060,gdna,Healthy,4.32,28.8,93.84,97.48,54.47,3.38,28.58,95.32,98.41,55.18,78.13,108,95.47,93.22,0.98,0.806
HPLXTCR05196,gdna,Healthy,5.69,37.96,93.62,97.58,54.65,4.54,37.68,94.79,98.23,55.36,79.73,108,95.75,94.29,0.96,0.831
HPLXTCR05197,gdna,Healthy,7.63,50.89,93.42,97.51,54.56,6.05,50.55,94.62,98.18,55.27,79.28,104,95.62,94.56,0.97,0.833
HPLXTCR05198,gdna,Healthy,7.3,48.64,93.39,97.42,54.84,5.61,48.28,94.82,98.23,55.74,76.89,105,95.87,94.21,0.97,0.83
HPLXTCR13768,gdna,Healthy,6.52,43.47,93.2,97.36,55.42,5.27,43.19,94.8,98.22,55.83,80.84,141,94.38,94.81,0.96,0.825
HPLXTCR13770,gdna,Healthy,4.53,30.23,93.36,97.45,55.65,3.77,30.02,94.55,98.12,56.02,83.22,146,94.09,94.59,0.94,0.817
HPLXTCR13771,gdna,Healthy,4.57,30.45,93.16,97.33,56.39,3.77,30.22,94.56,98.12,56.69,82.55,113,93.11,94.29,0.93,0.8
HPLXTCR13772,gdna,Healthy,5.58,37.18,93.07,97.32,55.56,4.62,36.93,94.42,98.06,55.88,82.85,141,94.31,94.78,0.95,0.822
HPLXTCR13773,gdna,Healthy,3.89,25.91,93.01,97.27,56.88,3.22,25.7,94.39,98.04,57.34,82.74,135,93.58,94.09,0.93,0.808
HPLXTCR13774,gdna,Healthy,4.27,28.45,93.04,97.24,56.14,3.48,28.23,94.67,98.16,56.37,81.48,119,93.04,94.28,0.93,0.798
HPLXTCR13775,gdna,Healthy,4.64,30.95,93.19,97.33,55.92,3.78,30.72,94.72,98.19,56.06,81.5,140,92.5,94.13,0.94,0.793
HPLXTCR13776,gdna,Healthy,5.62,37.47,93.15,97.35,54.85,4.58,37.22,94.74,98.21,55.24,81.45,108,94.42,94.93,0.97,0.828
